id,scores_available,title,question_set,date,location
25814,1,"Квиз, плиз! SPB",344,"23 марта/Вторник, 19:30",Rossi's Club
25533,1,"Квиз, плиз! SPB",344,"21 марта/Воскресенье, 18:00",Ресторан ParkKing
25534,0,"Квиз, плиз! SPB",343,"21 марта/Воскресенье, 16:00",Дубровский
25532,1,"Квиз, плиз! [стрим] SPB",125,"20 марта/Суббота, 20:00","Везде, где есть интернет"
25531,1,"Квиз, плиз! SPB",342,"20 марта/Суббота, 17:00",Rossi's Club
25530,1,"Квиз, плиз! [стрим] SPB",124,"19 марта/Пятница, 20:00","Везде, где есть интернет"
25529,1,"Квиз, плиз! SPB",342,"19 марта/Пятница, 19:30",Street Food Bar №1
25528,0,"Квиз, плиз! SPB",343,"19 марта/Пятница, 19:30",Rossi's Club
25526,0,"Квиз, плиз! [турбо] SPB",1,"18 марта/Четверг, 19:30",Grand Bianco
25523,0,"Квиз, плиз! SPB",341,"16 марта/Вторник, 19:30",Ресторан ParkKing
25304,1,"Квиз, плиз! [стрим] SPB",123,"14 марта/Воскресенье, 18:00","Везде, где есть интернет"
25302,1,"Квиз, плиз! [стрим] SPB",122,"13 марта/Суббота, 20:00","Везде, где есть интернет"
25301,1,"Квиз, плиз! SPB",341,"13 марта/Суббота, 16:00",Rossi's Club
25298,1,"Квиз, плиз! SPB",340,"12 марта/Пятница, 19:30",Rossi's Club
25296,1,"Квиз, плиз! SPB",340,"11 марта/Четверг, 19:30",Ресторан ParkKing
25295,1,"Квиз, плиз! [сюрприз] SPB",1,"11 марта/Четверг, 19:30",Grand Bianco
25041,1,"Квиз, плиз! [стрим] SPB",121,"8 марта/Понедельник, 18:00","Везде, где есть интернет"
24981,1,"Квиз, плиз! [стрим] SPB",120,"7 марта/Воскресенье, 20:00","Везде, где есть интернет"
24977,1,"Квиз, плиз! SPB",339,"7 марта/Воскресенье, 16:00",Rossi's Club
24974,1,"Квиз, плиз! SPB",338,"6 марта/Суббота, 16:00",Rossi's Club
24975,1,"Квиз, плиз! SPB",339,"6 марта/Суббота, 15:30",Ресторан ParkKing
